polarization,N_LR,N_UD,sigma_N_LR_stat,sigma_N_LR_tensor,sigma_N_LR_total,sigma_N_UD_stat,sigma_N_UD_tensor,sigma_N_UD_total,R_LRUD,sigma_R_stat,sigma_R_tensor,sigma_R_total,covariance_stat,covariance_T
0.00000000,30278.65483588,30278.65483588,174.00755540,0.00000000,174.00755540,174.00755540,0.00000000,174.00755540,0.0000000000,0.0040636539,0.0000000000,0.0040636539,-0.0255012263,0.0000000000
0.10000000,30998.01873716,29251.30916370,171.03006736,1.20427921,171.03430717,171.03007152,1.20427921,171.03431133,0.0289913537,0.0040162236,0.0000273136,0.0040163165,-0.0252212818,0.0975420992
0.20000000,31717.38263844,28223.96349151,167.99981724,2.40855842,168.01708171,167.99982540,2.40855842,168.01708987,0.0582806255,0.0039703961,0.0000549881,0.0039707769,-0.0249002240,0.3901683968
0.30000000,32436.74653973,27196.61781933,164.91389657,3.61283763,164.95346579,164.91390859,3.61283763,164.95347781,0.0878724314,0.0039260283,0.0000831123,0.0039269079,-0.0245380528,0.8778788929
0.40000000,33156.11044101,26169.27214715,161.76911946,4.81711683,161.84082497,161.76913518,4.81711683,161.84084068,0.1177714831,0.0038829469,0.0001117794,0.0038845555,-0.0241347682,1.5606735873
0.50000000,33875.47434230,25141.92647497,158.56198405,6.02139604,158.67627420,158.56200331,6.02139604,158.67629345,0.1479825907,0.0038409458,0.0001410870,0.0038435361,-0.0236903702,2.4385524802
0.60000000,34594.83824358,24114.58080279,155.28862675,7.22567525,155.45664341,155.28864938,7.22567525,155.45666602,0.1785106651,0.0037997827,0.0001711367,0.0038036347,-0.0232048589,3.5115155715
0.70000000,35314.20214486,23087.23513060,151.94476777,8.42995446,152.17843666,151.94479361,8.42995446,152.17846246,0.2093607210,0.0037591767,0.0002020338,0.0037646019,-0.0226782341,4.7795628612
0.80000000,36033.56604615,22059.88945842,148.52564542,9.63423367,148.83778353,148.52567429,9.63423367,148.83781234,0.2405378793,0.0037188039,0.0002338868,0.0037261515,-0.0221104961,6.2426943493
0.90000000,36752.92994743,21032.54378624,145.02593659,10.83851288,145.43038075,145.02596830,10.83851288,145.43041237,0.2720473701,0.0036782935,0.0002668077,0.0036879573,-0.0215016446,7.9009100358
1.00000000,37472.29384871,20005.19811406,141.43965944,12.04279209,141.95142163,141.43969380,12.04279209,141.95145587,0.3038945357,0.0036372231,0.0003009111,0.0036496492,-0.0208516797,9.7542099208
