polarization,N1,N2,sigma_N1_stat,sigma_N1_tensor,sigma_N1_total,sigma_N2_stat,sigma_N2_tensor,sigma_N2_total,R,sigma_R_stat,sigma_R_tensor,sigma_R_total,covariance_T
0.00000000,2523.22123632,5924.50807773,50.23167563,0.00000000,50.23167563,76.97082615,0.00000000,76.97082615,0.4258954842,0.0101243982,0.0000000000,0.0101243982,0.0000000000
0.10000000,2548.88638390,5777.54768433,50.48649705,0.14662076,50.48670995,76.01018145,0.26134609,76.01063074,0.4411709817,0.0104903374,0.0000322844,0.0104903870,0.0000000000
0.20000000,2574.55153147,5630.58729093,50.74003874,0.29324151,50.74088610,75.03723936,0.52269218,75.03905982,0.4572438715,0.0108783548,0.0000671865,0.0108785622,0.0000000000
0.30000000,2600.21667905,5483.62689753,50.99231980,0.43986227,50.99421691,74.05151516,0.78403827,74.05566564,0.4741782633,0.0112904662,0.0001050271,0.0112909546,0.0000000000
0.40000000,2625.88182662,5336.66650412,51.24335885,0.58648302,51.24671491,73.05249143,1.04538436,73.05997080,0.4920453292,0.0117289338,0.0001461761,0.0117298446,0.0000000000
0.50000000,2651.54697420,5189.70611072,51.49317405,0.73310378,51.49839236,72.03961487,1.30673045,72.05146532,0.5109243024,0.0121963043,0.0001910622,0.0121978008,0.0000000000
0.60000000,2677.21212177,5042.74571732,51.74178313,0.87972453,51.74926122,71.01229272,1.56807653,71.02960356,0.5309036529,0.0126954545,0.0002401835,0.0126977263,0.0000000000
0.70000000,2702.87726935,4895.78532392,51.98920339,1.02634529,51.99933321,69.96988869,1.82942262,69.99380052,0.5520824731,0.0132296451,0.0002941212,0.0132329142,0.0000000000
0.80000000,2728.54241692,4748.82493052,52.23545173,1.17296605,52.24861975,68.91171838,2.09076871,68.94342785,0.5745721219,0.0138025864,0.0003535564,0.0138071139,0.0000000000
0.90000000,2754.20756450,4601.86453712,52.48054463,1.31958680,52.49713205,67.83704399,2.35211480,67.87780920,0.5984981831,0.0144185164,0.0004192900,0.0144246116,0.0000000000
1.00000000,2779.87271207,4454.90414372,52.72449822,1.46620756,52.74488105,66.74506831,2.61346089,66.79621487,0.6240028118,0.0150822967,0.0004922689,0.0150903281,0.0000000000
